Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned,
2022-08-26,Cynthia Brown,James Taylor,Honda,Corolla,2015,26438,0.14714153015214543,3890.13,
2023-03-23,Cynthia Brown,Bradley Wilcox,Honda,Civic,2010,49122,0.070310096,3453.77,
2022-05-17,Cynthia Brown,Rachel Dillon,Toyota,Civic,2020,48964,0.07435728,3640.83,
2023-01-20,Cynthia Brown,Joseph Marquez,Honda,Silverado,2015,35989,0.1055199958500214,3797.56,
2023-04-06,Cynthia Brown,Rodney Black,Chevrolet,Altima,2021,10313,0.10387489462717983,1071.26,
2022-12-10,Cynthia Brown,Michelle Beck,Ford,Silverado,2021,11203,0.085945181,962.84,
2023-04-18,Cynthia Brown,Jesse Dunn,Nissan,Corolla,2013,13194,0.11862126131211372,1565.09,
2022-09-17,Cynthia Brown,Zachary Reese,Toyota,Silverado,2011,13112,0.092264679,1209.77,
2022-08-25,Cynthia Brown,Debra Hudson,Toyota,Altima,2015,18282,0.14818071183380893,2709.04,
2022-10-15,Cynthia Brown,Andrew Duncan,Toyota,Altima,2011,45839,0.11558389971078471,5298.25,
2022-08-17,Cynthia Brown,Aaron Wells,Chevrolet,Civic,2020,37942,0.083739757,3177.25,
2022-05-29,Cynthia Brown,Robert Conley,Ford,Civic,2021,26876,0.086318525,2319.9,
2022-11-03,Cynthia Brown,Donald Gregory Jr.,Nissan,Altima,2020,29694,0.055507208,1648.23,
2023-05-01,Cynthia Brown,Stanley Perez,Nissan,Civic,2021,36948,0.1182073402195672,4367.52,
2022-09-19,Cynthia Brown,Tina Perez,Ford,Civic,2018,38555,0.055717318,2148.18,
2022-08-29,Cynthia Brown,Colin Welch,Chevrolet,Civic,2019,27849,0.059948967,1669.52,
2023-03-13,Cynthia Brown,Robert Shaw,Ford,Silverado,2012,32458,0.12279628950667508,3985.72,
2023-03-18,Cynthia Brown,Alexander Stokes,Chevrolet,F-150,2012,13204,0.1321883416459518,1745.41,
2022-06-28,Cynthia Brown,Jesse Miller,Toyota,Civic,2019,47484,0.11414580329461264,5420.1,
2022-05-13,Cynthia Brown,Jerry Baker,Chevrolet,Silverado,2019,41216,0.1286909795352531,5304.13,
2022-10-21,Cynthia Brown,Katie Bell,Honda,Civic,2022,48743,0.11107111049906514,5413.94,
2023-04-19,Cynthia Brown,Courtney Miller,Nissan,Silverado,2017,21618,0.14533794532406039,3141.92,
2022-09-19,Cynthia Brown,Dennis Camacho,Chevrolet,F-150,2014,15844,0.066035232,1046.26,
2022-08-17,Cynthia Brown,Shaun Brown,Toyota,F-150,2013,25708,0.10590625582127283,2722.64,
2022-08-14,Cynthia Brown,Ashley Carr,Chevrolet,Silverado,2015,42449,0.069206145,2937.73,
2022-11-13,Cynthia Brown,Jessica Wilson,Toyota,Corolla,2013,34377,0.078920147,2713.04,
2022-10-26,Cynthia Brown,Tanya Green,Chevrolet,Silverado,2013,14566,0.060682467,883.9,
2023-03-29,Cynthia Brown,Rose Johnson,Chevrolet,F-150,2017,47493,0.051674859014612246,2454.19,
2022-06-23,Cynthia Brown,Phillip Cox,Toyota,Altima,2022,18209,0.0972776,1771.33,
2022-10-04,Cynthia Brown,Denise Carter,Chevrolet,F-150,2017,29518,0.072624228,2143.72,
2023-04-19,Cynthia Brown,Sandra Hart,Toyota,Civic,2015,43635,0.1448071139764629,6318.66,
2022-11-19,Cynthia Brown,Jonathan Garner,Toyota,Silverado,2018,24381,0.072714628,1772.86,
2022-12-09,Cynthia Brown,Amanda Ferrell,Honda,Corolla,2011,13766,0.12907933273621297,1776.91,
2023-03-05,Cynthia Brown,Stephanie Mendez,Chevrolet,Altima,2015,15463,0.13867283367964237,2144.3,
2023-02-28,Cynthia Brown,Dr. Michelle Guerra,Chevrolet,Altima,2010,27838,0.12019422926848494,3345.97,
2022-05-03,Cynthia Brown,Jason Davis,Ford,Corolla,2020,34365,0.076107368,2615.43,
2022-07-03,Cynthia Brown,Joseph Garcia,Toyota,Civic,2022,29071,0.11828669771007967,3438.71,
2023-01-13,Cynthia Brown,Kirsten Thompson DDS,Chevrolet,Civic,2012,16242,0.093600959,1520.27,
2022-12-30,Cynthia Brown,Steven Liu,Chevrolet,Altima,2016,35191,0.096900235,3410.02,
2022-10-14,Cynthia Brown,Henry King,Honda,Corolla,2014,33518,0.1047961312769568,3512.56,
2023-01-16,Cynthia Brown,Jorge Williams,Toyota,F-150,2011,21667,0.14179571725262569,3072.29,
2022-10-22,Cynthia Brown,Antonio Estrada,Ford,Silverado,2011,27218,0.053590363360696475,1458.62,
2022-12-08,Dylan Martin,Shannon Russell,Toyota,Silverado,2011,42233,0.063087692,2664.38,
2023-03-26,Dylan Martin,Nicholas Snow,Chevrolet,F-150,2010,25761,0.1286358935097454,3313.79,
2022-09-29,Dylan Martin,Brandon Turner,Chevrolet,Altima,2011,46924,0.1110666875942786,5211.69,
2022-12-14,Dylan Martin,Paul Jackson,Nissan,F-150,2019,44048,0.12351323152872834,5440.51,
2022-05-03,Dylan Martin,David Johnson,Nissan,Altima,2015,28962,0.10440980012054539,3023.92,
2022-07-11,Dylan Martin,Tiffany Arnold,Ford,Corolla,2013,14767,0.10428729000649964,1540.01,
2022-07-11,Dylan Martin,Angela Ramos,Honda,Silverado,2018,23454,0.07415248,1739.17,
2022-07-23,Dylan Martin,Angel Rose,Ford,F-150,2019,38050,0.13295113473467612,5058.79,
2023-01-04,Dylan Martin,Crystal Dean,Honda,Civic,2022,15231,0.12157627498798801,1851.73,
2023-02-19,Dylan Martin,Kevin Morris,Honda,F-150,2019,43586,0.05800043,2528.01,
2023-02-13,Dylan Martin,Thomas Peters,Ford,F-150,2016,15529,0.1330770159605287,2066.55,
2022-07-30,Dylan Martin,Lindsay Mccormick,Ford,F-150,2019,10854,0.071441871,775.43,
2022-07-17,Dylan Martin,Gregory Phillips Jr.,Chevrolet,Silverado,2020,36523,0.14707507228377825,5371.62,
2023-03-15,Dylan Martin,Christopher Landry,Toyota,Silverado,2012,33017,0.11635308856022909,3841.63,
2022-05-24,Dylan Martin,Amy Sanchez,Chevrolet,F-150,2013,26168,0.13626166335406598,3565.7,
2023-04-29,Dylan Martin,Justin Moore,Ford,Civic,2017,46312,0.1059412528643519,4906.35,
2023-02-11,Dylan Martin,Linda Conrad,Nissan,Altima,2019,46164,0.14467380440506145,6678.72,
2022-07-29,Dylan Martin,Maria Briggs,Nissan,Corolla,2016,45589,0.10689487857759922,4873.23,
2022-12-13,Dylan Martin,Sheila Frank,Nissan,Silverado,2022,40186,0.1498919896163649,6023.56,
2023-02-18,Dylan Martin,Marie Green,Honda,Silverado,2019,13702,0.11296935174266358,1547.91,
2023-03-22,Dylan Martin,Eric Hickman,Toyota,F-150,2016,36472,0.14249561339063743,5197.1,
2022-12-30,Dylan Martin,Douglas Frank,Honda,Civic,2016,44326,0.082696251,3665.59,
2022-06-30,Dylan Martin,Andrew Townsend,Ford,Corolla,2017,33224,0.11836777900195657,3932.65,
2022-09-09,Dylan Martin,Laura Mccullough,Ford,F-150,2012,12785,0.075195436,961.37,
2023-03-28,Dylan Martin,Angela Hall,Toyota,Altima,2012,48518,0.13138673031439277,6374.62,
2023-02-27,Dylan Martin,Jennifer Montes,Chevrolet,Altima,2014,20130,0.11483620701645716,2311.65,
2022-05-13,Dylan Martin,Jean Ramirez,Nissan,F-150,2013,38728,0.11128027268741811,4309.66,
2022-07-05,Dylan Martin,Michael Miller,Nissan,Silverado,2016,24173,0.091079264,2201.66,
2022-09-21,Dylan Martin,Brent Mays,Toyota,Altima,2013,24034,0.091313069,2194.62,
2023-03-31,Dylan Martin,Christopher Roberts,Chevrolet,Altima,2012,34902,0.055008191146703314,1919.9,
2022-10-01,Dylan Martin,George Johnson,Ford,Altima,2022,45546,0.078499965,3575.36,
2022-09-23,Dylan Martin,Christopher Cruz,Toyota,Corolla,2014,32968,0.11871407752582129,3913.77,
2023-04-01,Dylan Martin,Kenneth Hernandez,Ford,Corolla,2014,33780,0.11154518356044474,3768,
2023-03-26,Dylan Martin,Jose Ward,Chevrolet,Altima,2012,25699,0.065448206,1681.95,
2022-08-24,Dylan Martin,Scott Donovan,Honda,Civic,2017,44652,0.083283473,3718.77,
2022-08-26,Dylan Martin,Kathryn Park,Honda,Civic,2021,46780,0.077381418,3619.9,
2022-12-30,Dylan Martin,Sarah Evans,Honda,Altima,2011,24893,0.13294784069970467,3309.47,
2022-12-13,Dylan Martin,Jason Murphy,Toyota,Silverado,2013,36173,0.093557935,3384.27,
2023-04-04,Dylan Martin,Sarah Watkins,Ford,Civic,2013,45334,0.13688274205374834,6205.44,
2022-05-30,Dylan Martin,Kristin Hall,Chevrolet,Corolla,2011,27734,0.14314017919102834,3969.85,
2023-03-21,Dylan Martin,Frances Castillo,Honda,Corolla,2016,17047,0.12645691523807076,2155.71,
2023-03-07,Dylan Martin,Robert Burke,Ford,Silverado,2021,46139,0.12867907964506997,5937.12,
2023-04-15,Dylan Martin,Mary Nielsen,Ford,Corolla,2021,13143,0.14093300291703803,1852.28,
2022-08-14,Dylan Martin,David Peck,Chevrolet,Civic,2013,47797,0.11852310604228088,5665.05,
2023-02-20,Dylan Martin,Denise Velez,Ford,F-150,2021,22268,0.055122106,1227.46,
2022-11-19,Dylan Martin,Cory Singleton,Chevrolet,F-150,2017,47014,0.11920238347156142,5604.18,
2023-01-23,Dylan Martin,John Goodwin,Ford,Altima,2020,25964,0.098218645,2550.15,
2022-05-05,Dylan Martin,Donald Smith,Chevrolet,Altima,2010,24606,0.092016975,2264.17,
2022-05-12,Dylan Martin,Sarah Martin,Nissan,Civic,2012,39840,0.11343863911705711,4519.4,
2023-03-26,Dylan Martin,Tracy Vaughn,Toyota,Corolla,2011,43592,0.099287469,4328.14,
2023-01-17,Dylan Martin,Nicholas Lam,Ford,F-150,2013,24961,0.1428227344451063,3565,
2022-12-20,Dylan Martin,Christine Scott,Toyota,Silverado,2020,12606,0.129309311,1630.07,
2022-07-05,Dylan Martin,Dustin Taylor,Chevrolet,Civic,2016,45924,0.076383844,3507.85,
2023-01-24,Dylan Martin,John Nunez,Chevrolet,Corolla,2011,34067,0.12732943003349118,4337.73,
2022-08-01,Dylan Martin,Sylvia Williams,Toyota,Corolla,2019,48779,0.052899612,2580.39,
2023-01-24,Dylan Martin,Andrew Hudson,Nissan,Corolla,2020,42405,0.097317108,4126.73,
2022-05-20,Dylan Martin,Rachel Whitehead,Ford,Corolla,2022,11372,0.098670981,1122.09,
2022-05-13,Edgar Jones,Kelly Herman,Chevrolet,F-150,2021,37032,0.087794766,3251.22,
2023-04-16,Edgar Jones,Brenda Werner,Honda,Corolla,2021,25069,0.071331945,1788.22,
2022-05-04,Edgar Jones,Michael Murphy,Toyota,Silverado,2018,30286,0.1257728335417317,3809.16,
2023-01-22,Edgar Jones,Tammy Cain,Ford,Civic,2019,20795,0.12103679421366932,2516.96,
2022-11-07,Edgar Jones,Jacob Woods,Honda,F-150,2018,46030,0.13108774449399568,6033.97,
2022-12-18,Edgar Jones,Amanda Anderson,Ford,Civic,2018,48905,0.12065306098886208,5900.54,
2023-02-25,Edgar Jones,Timothy Miller,Chevrolet,F-150,2013,16272,0.10211947517440459,1661.69,
2022-10-23,Edgar Jones,Karen Kelley,Chevrolet,Altima,2020,12182,0.1451238753007909,1767.9,
2023-01-28,Edgar Jones,Sherry Elliott,Toyota,F-150,2014,49461,0.12238939583226788,6053.5,
2022-12-22,Edgar Jones,Marcus Bullock,Ford,F-150,2017,10503,0.062559908,657.07,
2022-12-28,Edgar Jones,Sarah Mason,Ford,Altima,2018,31592,0.096319767,3042.93,
2022-12-17,Edgar Jones,Jasmine Crawford,Chevrolet,Civic,2015,17960,0.07262428,1304.33,
2023-01-24,Edgar Jones,Michele Morgan,Chevrolet,Silverado,2017,25721,0.075790217,1949.4,
2022-07-25,Edgar Jones,Joshua Webb,Toyota,Corolla,2015,31973,0.089156876,2850.61,
2022-06-16,Edgar Jones,Vanessa Jones,Honda,Silverado,2022,20256,0.11348979252839732,2298.85,
2022-06-08,Edgar Jones,Joel Garrett,Nissan,Silverado,2014,18693,0.058118730817103816,1086.41,
2022-06-18,Edgar Jones,Loretta Diaz,Nissan,Altima,2022,42530,0.082907657,3526.06,
2023-02-15,Faith Pierce,Jimmy Dunn,Honda,Silverado,2016,35279,0.063399664,2236.68,
2022-07-07,Faith Pierce,Mariah Lee,Ford,Silverado,2016,39844,0.066639078,2655.17,
2023-02-21,Gabrielle Fields,Richard Warner,Ford,F-150,2016,36774,0.14716016926255265,5411.67,
2023-04-14,Gabrielle Fields,Mary Johnson,Nissan,Altima,2011,29936,0.073987924,2214.9,
2022-08-30,Gabrielle Fields,Cynthia Wells,Honda,Corolla,2010,42121,0.070755842,2980.31,
2022-06-29,Gabrielle Fields,William Juarez,Honda,Corolla,2016,16578,0.14111486470361478,2339.4,
2022-09-28,Gabrielle Fields,Daniel Keller,Chevrolet,Civic,2017,24838,0.10016347283777538,2487.86,
2022-12-14,Gabrielle Fields,Elizabeth Jimenez,Chevrolet,Silverado,2013,31606,0.11764995909791198,3718.44,
2023-02-26,Gabrielle Fields,Joseph Salazar,Nissan,F-150,2011,21302,0.092127881,1962.51,
2022-08-24,Gabrielle Fields,Kendra Clark,Ford,F-150,2014,45837,0.086689901,3973.6,
2022-08-04,Gabrielle Fields,Chris Baker,Ford,Civic,2013,49225,0.11718010953166286,5768.19,
2022-09-28,Gabrielle Fields,Jessica Washington,Ford,Corolla,2018,32490,0.070217941,2281.38,
2023-01-18,Gabrielle Fields,Stephanie Jones,Honda,Altima,2010,19474,0.11469595352246349,2233.59,
2022-07-05,Gabrielle Fields,James Gallagher,Toyota,Silverado,2014,13964,0.14872286651223193,2076.77,
2022-08-07,Gabrielle Fields,Christina Murphy,Ford,Corolla,2012,23332,0.091599813,2137.21,
2022-07-03,Haley Burns,Erica Hall,Toyota,Altima,2020,31042,0.09525771,2956.99,
2023-02-14,Haley Burns,Kaitlin Rogers,Ford,Altima,2019,47011,0.066211592,3112.67,
2023-01-20,Haley Burns,Stephanie Osborne,Nissan,Corolla,2022,13530,0.11121022019419985,1504.67,
2023-04-27,Haley Burns,Elizabeth Taylor,Chevrolet,Corolla,2013,31020,0.12152960837935908,3769.85,
2023-02-11,Haley Burns,Stephanie Stanley,Honda,Altima,2012,19530,0.10866995580750487,2122.32,
2023-03-12,Haley Burns,Isaac Patton,Honda,Silverado,2021,41259,0.09254116,3818.16,
2023-04-12,Haley Burns,Anthony Glover,Honda,F-150,2015,48916,0.099833576,4883.46,
2022-05-25,Haley Burns,Rachel Madden,Honda,Civic,2011,17997,0.062692864,1128.28,
2022-06-02,Haley Burns,Michelle Bush,Chevrolet,Corolla,2019,13144,0.088974582,1169.48,
2022-08-22,Haley Burns,Mark Olson,Ford,F-150,2017,34044,0.077203345,2628.31,
2023-03-15,Haley Burns,Dr. Cindy Roberts,Nissan,Civic,2010,11457,0.083015194,951.11,
2023-04-25,Haley Burns,Jeremy Spence,Toyota,Silverado,2017,39713,0.075985648,3017.62,
2023-04-01,Haley Burns,Toni Acosta,Toyota,Civic,2016,48163,0.131807447,6348.24,
2023-03-25,Haley Burns,Ashlee Guzman,Nissan,Civic,2013,39916,0.12211200931808588,4874.22,
2022-05-21,Haley Burns,Kathleen Stone,Chevrolet,Civic,2012,20812,0.10751448399365748,2237.59,
2022-07-02,Haley Burns,Marc Caldwell,Nissan,Corolla,2021,21224,0.093014227,1974.13,
2023-03-06,Haley Burns,Hannah Freeman,Nissan,F-150,2021,24435,0.091475176,2235.2,
2022-08-08,Haley Burns,Randy Noble,Toyota,Corolla,2020,36840,0.13761829783173607,5069.86,
2022-07-24,Haley Burns,Christopher Jenkins,Ford,Altima,2015,29785,0.092425865,2752.9,
2022-11-16,Haley Burns,Aaron Medina,Toyota,Civic,2014,23582,0.1470957680180211,3468.81,
2022-11-16,Haley Burns,Tammy Bright,Ford,F-150,2012,27150,0.087644258,2379.54,
2022-05-26,Haley Burns,Virginia Christensen,Nissan,F-150,2014,39059,0.086522705,3379.49,
2022-06-17,Haley Burns,Benjamin Robertson,Toyota,F-150,2015,26838,0.058580988,1572.2,
2023-02-04,Haley Burns,Casey Stone,Chevrolet,Silverado,2011,39825,0.097734318,3892.27,
2023-04-28,Haley Burns,Cameron James,Honda,F-150,2022,17640,0.13083223378904502,2307.88,
2023-03-05,Haley Burns,Kelly Mills,Honda,Civic,2021,38562,0.072288611,2787.59,
2022-12-16,Haley Burns,Joseph Richard,Nissan,F-150,2014,21084,0.053424536,1126.4,
2022-06-30,Haley Burns,Tammy Ward,Honda,Silverado,2016,38265,0.08034791,3074.51,
2022-05-24,Haley Burns,Harold Hernandez DVM,Honda,Corolla,2021,36865,0.057082798,2104.36,
2022-12-21,Haley Burns,Natalie Thompson,Honda,Corolla,2016,36607,0.055250978,2022.57,
2022-07-07,Haley Burns,Matthew Fisher MD,Nissan,F-150,2014,21526,0.09282293,1998.11,
2023-03-17,Haley Burns,Christine Parker,Toyota,Silverado,2010,43218,0.14137675811917133,6110.02,
2023-04-19,Haley Burns,Henry Ayala,Chevrolet,Corolla,2021,28651,0.092142266,2639.97,
2022-10-07,Haley Burns,Benjamin Wilson,Chevrolet,Corolla,2020,18832,0.14885093431353763,2803.16,
2023-02-02,Haley Burns,Molly Crawford,Nissan,Altima,2016,31699,0.11700664859354908,3708.99,
2022-12-11,Haley Burns,Rebecca Hansen,Chevrolet,F-150,2012,20725,0.14507344059455757,3006.65,
2022-07-09,Haley Burns,Mr. Michael Harmon,Nissan,Civic,2021,19589,0.13180733663039113,2581.97,
2022-05-01,Haley Burns,Michael Payne,Nissan,Corolla,2022,41449,0.076826727,3184.39,
2022-06-16,Haley Burns,Lynn Harris,Nissan,F-150,2016,18286,0.1358281212548052,2483.75,
2022-12-19,Haley Burns,Ruben Gomez,Nissan,Civic,2010,41587,0.084404408,3510.13,
2023-01-23,Haley Burns,John Olson,Honda,Corolla,2015,39430,0.083964739,3310.73,
2023-03-14,Haley Burns,Michelle Hayes,Toyota,Corolla,2019,24771,0.096175892,2382.37,
2022-05-25,Haley Burns,Alfred Butler,Honda,F-150,2017,22369,0.095342474,2132.72,
2022-11-27,Haley Burns,Carol Henry,Honda,Corolla,2020,31386,0.11871657930207384,3726.04,
2022-08-25,Haley Burns,Kayla Hernandez,Ford,Silverado,2011,36410,0.13066167171581466,4757.39,
2022-12-02,Haley Burns,Steven Jackson,Ford,Civic,2015,10684,0.14134011358323728,1510.08,
2022-07-18,Haley Burns,Casey Saunders,Chevrolet,Corolla,2011,46494,0.05097661,2370.11,
2022-07-26,Haley Burns,Brittany Miller,Nissan,Corolla,2011,19556,0.0823885,1611.19,
2022-12-20,Haley Burns,Kristin Robinson,Toyota,Civic,2011,36895,0.12828810888621467,4733.19,
2023-04-26,Haley Burns,Laura Brown,Toyota,Civic,2022,21492,0.13277884409786816,2853.68,
2023-05-01,Haley Burns,Holly Jones,Nissan,F-150,2022,42275,0.12568085218588743,5313.16,
2023-02-04,Haley Burns,Brittany Gonzales,Chevrolet,Civic,2019,23249,0.14162204065002712,3292.57,
